field_name,type,x0,y0,x1,y1,on_value,options,meaning_TODO
Dropdown8,/Ch,428.5,748.3,461.3,766.9,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31,
Dropdown3,/Ch,319.4,747.9,366.5,766.6,,2026|2027|2028|2029,
Dropdown4,/Ch,382.9,748.6,416.9,766.6,,1|2|3|4|5|6|7|8|9|10|11|12,
Check Box1,/Btn,488.9,746.3,506.9,764.3,/þÿ0o0D,,
Check Box2,/Btn,531.2,746.0,549.2,764.0,/þÿ0o0D,,
テキスト109,/Tx,108.4,725.0,257.8,743.7,,,
Dropdown9,/Ch,263.1,725.8,334.3,742.7,,（男）|（女）,
Dropdown8-1,/Ch,235.3,703.4,265.5,721.3,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31,
Dropdown6,/Ch,86.4,702.8,149.6,720.8,,明治|大正|昭和|平成|令和,
Dropdown5,/Ch,152.1,703.2,182.8,720.8,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64,
Dropdown4-1,/Ch,197.1,703.2,225.5,720.2,,1|2|3|4|5|6|7|8|9|10|11|12,
チェックボックス121,/Btn,422.9,703.2,439.9,720.2,/þÿ0o0D,,
チェックボックス120,/Btn,488.9,703.2,505.9,720.2,/þÿ0o0D,,
チェックボックス119,/Btn,368.7,702.8,385.7,719.8,/þÿ0o0D,,
Dropdown10,/Ch,294.8,703.9,325.1,719.2,,20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99,
チェックボックス11,/Btn,201.5,658.9,218.6,675.9,/þÿ0o0D,,
チェックボックス117,/Btn,323.0,658.2,340.0,675.2,/þÿ0o0D,,
